access	[ˈækˌsɛs]	v. 获取 n. 接近，入口
admission	[ədˈmɪʃən]	n. 承认；允许进入
modify	[ˈmɑdəˌfaɪ]	v. 更改，修改
express	[ɪkˈsprɛs]	v. 表示 n. 快车；快递
imagine	[ˌɪˈmæʤən]	v. 想象，设想
infinite	[ˈɪnfənət]	adj. 无限的；无数的
barrier	[ˈbɛriər]	n. 障碍；栅栏；屏障
lane	[leɪn]	n. （乡间）小路；跑道
notebook	[ˈnoʊtˌbʊk]	n. 笔记本，期票簿
realm	[rɛlm]	n. 领域；王国，国土
lever	[ˈlɛvər]	n. 控制杆；杆，杠杆
midst	[mɪst]	n. 中部，中间，当中
pilot	[ˈpaɪlət]	n. 飞行员；领航员
direct	[dɪˈrɛkt]	adj. 直接的；直率的
prejudice	[ˈprɛʤədɪs]	n. 偏见，成见
tour	[tʊr]	n. 旅行，旅游 v. 旅游，游历
tolerance	[ˈtɑlərəns]	n. 忍受，容忍
discourage	[dɪˈskərɪʤ]	v. 使泄气，使灰心
get	[gɪt]	v. 获得，得到；到达；变成，成为
advertisement	[ˌædvərˈtaɪzmənt]	n. 广告
ribbon	[ˈrɪbən]	n. 缎带，丝带；带
partner	[ˈpɑrtnər]	n. 配偶；伙伴；搭挡
hamburger	[ˈhæmbərgər]	n. 汉堡包，牛肉饼
climb	[klaɪm]	v. 攀登，爬
differ	[ˈdɪfər]	v. 不同，相异
exhibition	[ˌɛksəˈbɪʃən]	n. 展览会；展览，陈列
mineral	[ˈmɪnərəl]	n. 矿物 adj. 矿物的
public	[ˈpəblɪk]	adj. 公众的 n. 公众
palace	[ˈpæləs]	n. 宫，宫殿
pulse	[pəls]	n. 脉搏；脉动；脉冲
immediately	[ˌɪˈmiˌdiətli]	adv. 立即；（immediately involved）直接地
cow	[kaʊ]	n. 母牛，奶牛；母兽
private	[ˈpraɪvət]	adj. 私人的；私下的
toast	[toʊst]	n. 烤面包 v. 烘，烤
scenery	[ˈsinəri]	n. 风景；舞台布景
fun	[fən]	n. 乐趣，娱乐；玩笑
living	[ˈlɪvɪŋ]	adj. 活的 n. 生活，生计
Mediterranean	[ˌmɛdətərˈeɪniən]	n. 地中海 adj. 地中海的
worth	[wərθ]	adj. 值…的 n. 价值
conquer	[ˈkɑŋkər]	v. 征服；战胜
absorb	[əbˈzɔrb]	v. 吸收；中文释义；使专心
enthusiasm	[ɪnˈθuziˌæzəm]	n. 热情，热心，热忱
brood	[brud]	n. 同窝幼鸟 v. 孵（蛋）
tip	[tɪp]	v. 轻击；给小费
accompany	[əˈkəmpəni]	v. 陪伴，陪同；伴随
execute	[ˈɛksəˌkjut]	v. 将…处死；实施
conceal	[kənˈsil]	v. 把…隐藏起来
certain	[ˈsərtən]	adj. 肯定的；确实的
apparent	[əˈpɛrənt]	adj. 明显的；表面上的
messenger	[ˈmɛsɪnʤər]	n. 送信者，信使
merit	[ˈmɛrət]	n. 长处，优点
youth	[juθ]	n. 青春；青年们；青年
naval	[ˈneɪvəl]	adj. 海军的，军舰的
downward	[ˈdaʊnwərd]	adj. 向下的 adv. 向下地
fact	[fækt]	n. 事实；实际，实情
hut	[hət]	n. 小屋，棚屋
namely	[ˈneɪmli]	adv. 即，也就是
monument	[ˈmɑnjəmənt]	n. 纪念碑；纪念馆
cool	[kul]	adj. 凉的；冷静的
governor	[ˈgəvərnər]	n. 州长；主管人员
program	[ˈproʊˌgræm]	n. 程序；节目单
illness	[ˈɪlnəs]	n. 病，疾病
normal	[ˈnɔrməl]	adj. 正常的，普通的
population	[ˌpɑpjəˈleɪʃən]	n. 人口；全体居民
frontier	[frənˈtɪr]	n. 边境；边疆；新领域
quantity	[kˈwɑntəti]	n. 量，数量，分量
order	[ˈɔrdər]	n. 次序；整齐 v. 命令
learning	[ˈlərnɪŋ]	n. 学问，知识；学习
everywhere	[ˈɛvriˌwɛr]	adv. 到处，处处
stage	[steɪʤ]	n. 阶段；舞台
everyone	[ˈɛvriˌwən]	pron. 每人，人人
sting	[stɪŋ]	v. 刺；刺痛 n. 刺
hatch	[hæʧ]	v. （蛋）孵化；孵出
honey	[ˈhəni]	n. 蜜，蜂蜜
nest	[nɛst]	n. 巢；窝，穴
degree	[dɪˈgri]	n. 度；学位
equivalent	[ɪkˈwɪvələnt]	adj. 相等的；等量的
calendar	[ˈkæləndər]	n. 日历，历书；历法
manual	[ˈmænjuəl]	adj. 体力的 n. 手册
cabinet	[ˈkæbənət]	n. 内阁；橱，柜
steady	[ˈstɛdi]	adj. 稳固的 v. 使稳定
more	[mɔr]	adj. 更多的 adv. 更
apple	[ˈæpəl]	n. 苹果
never	[ˈnɛvər]	adv. 永不，决不；不
instruction	[ˌɪnˈstrəkʃən]	n. 命令；教学；教训
laughter	[ˈlæftər]	n. 笑，笑声
appeal	[əˈpil]	n. 呼吁；申述 v. 呼吁；申述
idiom	[ˈɪdiəm]	n. 习语，成语
impressive	[ˌɪmˈprɛsɪv]	adj. 给人印象深刻的
fourteen	[ˌfɔrˈtin]	num. 十四
on	[ɔn]	prep. 在…上
stack	[stæk]	n. 堆，垛 v. 堆积
imitate	[ˈɪməˌteɪt]	v. 模仿；仿效；仿制
cast	[kæst]	v. 投，扔，抛；浇铸
pump	[pəmp]	n. 泵 v. 用抽机抽
animal	[ˈænəməl]	n. 动物，兽 adj. 兽欲/动物本能等（animal urges/instincts）
mend	[mɛnd]	v. 修补，缝补；修理
dozen	[ˈdəzən]	n. 一打，十二个
bathe	[beɪð]	v. 给…洗澡
means	[minz]	n. 方法，手段，工具
emphasis	[ˈɛmfəsɪs]	n. 强调，重点，重要性
shortage	[ˈʃɔrtɪʤ]	n. 不足，缺少，不足额
contrary	[ˈkɑntrɛri]	adj. 相反的 n. 相反
tunnel	[ˈtənəl]	n. 隧道，坑道，地道
visible	[ˈvɪzəbəl]	adj. 可见的，看得见的
minimum	[ˈmɪnəməm]	n. 最小量 adj. 最小的
hedge	[hɛʤ]	n. 篱笆，树篱
bundle	[ˈbəndəl]	n. 捆，包，束；包袱
stretch	[strɛʧ]	v. 伸展；伸 n. 伸展
electrical	[ɪˈlɛktrɪkəl]	adj. 电的，电气科学的
artificial	[ˌɑrtəˈfɪʃəl]	adj. 人工的；娇揉造作的
grateful	[ˈgreɪtfəl]	adj. 感激的
classmate	[ˈklæsˌmeɪt]	n. 同班同学
assess	[əˈsɛs]	v. 对（财产等）估价
personal	[ˈpərsɪnəl]	adj. 个人的；本人的
qualify	[kˈwɑləˌfaɪ]	v. 使具有资格
shift	[ʃɪft]	v. 替换，转移 n. 转换
preceding	[priˈsidɪŋ]	adj. 在前的；在先的
board	[bɔrd]	n. 板 v. 上（船、车等）
custom	[ˈkəstəm]	n. 习惯，风俗；海关
patch	[pæʧ]	n. 补丁；〔与周围部分不同的〕斑，小块 v. 修补，缝补
jar	[ʤɑr]	n. 罐子，坛子，广口瓶
defeat	[dɪˈfit]	v. 战胜，击败；挫败
child	[ʧaɪld]	n. 小孩，儿童；儿子/女儿
education	[ˌɛʤəˈkeɪʃən]	n. 教育；训导
stair	[stɛr]	n. 楼梯
ornament	[ˈɔrnəmənt]	n. 装饰物；装饰
downstairs	[ˈdaʊnˈstɛrz]	adv. 在楼下 adj. 楼下的
hare	[hɛr]	n. 野兔
brook	[brʊk]	n. 小河，溪流
procedure	[prəˈsiʤər]	n. 程序；手续；过程
employ	[ɪmˈplɔɪ]	v. 雇用；用；使忙于
may	[meɪ]	modal verb. 可能；可以；祝
province	[ˈprɑvɪns]	n. 省；领域，部门
freeze	[friz]	v. 冻；结冻
artistic	[ɑrˈtɪstɪk]	adj. 艺术的；艺术家的
combination	[ˌkɑmbəˈneɪʃən]	n. 结合，联合；混合
adapt	[əˈdæpt]	v. 使适应；改编
ambulance	[ˈæmbjələns]	n. 救护车
burden	[ˈbərdən]	n. 担子，重担
innocent	[ˈɪnəsənt]	adj. 清白的；幼稚的
option	[ˈɔpʃən]	n. 选择；选择权
fee	[fi]	n. 费，酬金；赏金
greeting	[ˈgritɪŋ]	n. 问候，招呼，致敬
sincere	[sɪnˈsɪr]	adj. 真诚的；真挚的
steel	[stil]	n. 钢，钢铁
guard	[gɑrd]	v. 守卫；看守 n. 卫兵
worthy	[ˈwərði]	adj. 值得尊敬的；值得的
breakfast	[ˈbrɛkfəst]	n. 早饭，早餐
sympathize	[ˈsɪmpəˌθaɪz]	v. 同情；同感，共鸣
gallery	[ˈgæləri]	n. 美术馆，画廊；长廊；走廊
notice	[ˈnoʊtɪs]	v. 注意 n. 注意；通知
percentage	[pərˈsɛnɪʤ]	n. 百分比，百分率
money	[ˈməni]	n. 货币；金钱；财富
best	[bɛst]	adj. 最好的；最大的
meet	[mit]	v. 遇见
crown	[kraʊn]	n. 王冠，冕；花冠
beginning	[bɪˈgɪnɪŋ]	n. 开始，开端；起源
mathematical	[ˌmæθəˈmætɪkəl]	adj. 数学的，数学上的
juice	[ʤus]	n. （水果等）汁，液
meadow	[ˈmɛˌdoʊ]	n. 草地，牧草地
district	[ˈdɪstrɪkt]	n. 地区，区域；区
fish	[fɪʃ]	n. 鱼；鱼肉 v. 钓鱼
incorrect	[ˌɪnkərˈɛkt]	adj. 不正确的，错误的
lose	[luz]	v. 失去；迷失；输掉
man	[mæn]	n. 男人；人；人类
mere	[mɪr]	adj. 仅仅的；纯粹的
bell	[bɛl]	n. 钟，铃，门铃；钟声
mean	[min]	v. 作…解释；意指
surrender	[sərˈɛndər]	v. 交出；投降
complicate	[ˈkɑmpləˌkeɪt]	v. 使复杂；使陷入
English	[ˈɪŋlɪʃ]	n. 英语 adj. 英国人的
gardener	[ˈgɑrdənər]	n. 园丁，花匠
call	[kɔl]	v. 把…叫做；叫，喊
pleasant	[ˈplɛzənt]	adj. 令人愉快的，舒适的
conversion	[kənˈvərʒən]	n. 转变，转化；改变
adopt	[əˈdɑpt]	v. 收养；采用；采取
master	[ˈmæstər]	n. 能手；主人；硕士
pipe	[paɪp]	n. 管子，导管；烟斗
recover	[rɪˈkəvər]	v. 重新获得；挽回
communicate	[kəmˈjunəˌkeɪt]	v. 通讯；传达
bike	[baɪk]	n. 自行车 v. 骑自行车
classify	[ˈklæsəˌfaɪ]	v. 把…分类
trumpet	[ˈtrəmpət]	n. 喇叭，小号
canoe	[kəˈnu]	n. 独木舟，皮艇，划子
entertain	[ˌɛnərˈteɪn]	v. 使欢乐；招待
campaign	[kæmˈpeɪn]	n. 运动；战役
abandon	[əˈbændən]	v. 丢弃；放弃，抛弃
lorry	[ˈlɔri]	n. 运货汽车，卡车
congress	[ˈkɑŋgrəs]	n. 大会；国会，议会
double	[ˈdəbəl]	adj. 双的；两倍的
confident	[ˈkɑnfədənt]	adj. 确信的；自信的
extreme	[ɪkˈstrim]	adj. 极度的；尽头的
frequency	[ˈfrikwənsi]	n. 屡次；次数；频率
confess	[kənˈfɛs]	v. 供认，承认；坦白
lodge	[lɑʤ]	v. 暂住，借宿，投宿
apartment	[əˈpɑrtmənt]	n. 一套公寓房间
elevator	[ˈɛləˌveɪtər]	n. 电梯；升降机
kilogram	[ˈkɪləˌgræm]	n. 千克，公斤
industrial	[ˌɪnˈdəstriəl]	adj. 工业的；产业的
explosive	[ɪkˈsploʊsɪv]	n. 炸药 adj. 会爆炸的
challenge	[ˈʧælənʤ]	n. 挑战
swear	[swɛr]	v. 宣（誓）；诅咒
departure	[dɪˈpɑrʧər]	n. 离开，出发，起程
elastic	[ɪˈlæstɪk]	n. 松紧带 adj. 有弹性的
break	[breɪk]	v. 打破；损坏；破坏
capital	[ˈkæpɪtəl]	n. 首都；资本，资金
adequate	[ˈædəkˌweɪt]	adj. 足够的；可以胜任的
progress	[ˈprɑˌgrɛs]	n. 前进；进展；进步
paste	[peɪst]	n. 糊；酱；糨糊
relevant	[ˈrɛləvənt]	adj. 有关的，贴切的
exam	[ɪgˈzæm]	n. 考试；检查，细查
conservative	[kənˈsərvətɪv]	adj. 保守的 n. 保守的人
inhabit	[ˌɪnˈhæbət]	v. 居住于，栖息于
ministry	[ˈmɪnɪstri]	n. （政府的）部
stem	[stɛm]	n. 茎，（树）干 v. 起源
margin	[ˈmɑrʤən]	n. 页边的空白；边缘；边缘
core	[kɔr]	n. 果实的心；核心
correspondent	[ˌkɔrəˈspɑndənt]	n. 通讯员；通信者
possibly	[ˈpɑsəbli]	adv. 可能地；也许
roll	[roʊl]	v. 滚动；转动
repair	[rɪˈpɛr]	v. 修理，修补 n. 修理，修补
moral	[ˈmɔrəl]	adj. 道德的；合乎道德的
broken	[ˈbroʊkən]	adj. 被打碎的；骨折的
steer	[stɪr]	v. 驾驶
wax	[wæks]	n. 蜡，蜂蜡
centimetre	[ˈsɛntəˌmitər]	n. 公分，厘米
gaseous	[ˈgæsiəs]	adj. 气体的，气态的
equal	[ˈikwəl]	adj. 相等的；平等的
lecture	[ˈlɛkʧər]	n. 演讲，讲课 v. 演讲，讲课
recommendation	[ˌrɛkəmənˈdeɪʃən]	n. 推荐，介绍；劝告
bleed	[blid]	v. 出血，流血
kid	[kɪd]	n. 小孩，儿童；少年
become	[bɪˈkəm]	v. 变得；变成；成为
rid	[rɪd]	v. 使摆脱，使去掉
land	[lænd]	n. 土地；陆地 v. 上岸
bold	[boʊld]	adj. 大胆的；冒失的
prison	[ˈprɪzən]	n. 监狱；监禁
modest	[ˈmɑdəst]	adj. 谦虚的；不太大的；不很贵的
leather	[ˈlɛðər]	n. 皮革；皮革制品
length	[lɛŋθ]	n. 长，长度；一段
academic	[ˌækəˈdɛmɪk]	adj. 学院的；学术的
prosperous	[ˈprɑspərəs]	adj. 繁荣的，昌盛的
grammatical	[grəˈmætɪkəl]	adj. 语法上的
physics	[ˈfɪzɪks]	n. 物理学
turbine	[ˈtərbaɪn]	n. 叶轮机，汽轮机
contempt	[kənˈtɛmpt]	n. 轻蔑；藐视；受辱
settlement	[ˈsɛtəlmənt]	n. 解决；殖民，殖民地
label	[ˈleɪbəl]	n. 标签；标记，符号
dew	[du]	n. 露，露水
professor	[prəˈfɛsər]	n. 教授
nothing	[ˈnəθɪŋ]	n. 没有东西 adv. 毫不
palm	[pɑm]	n. 手掌，手心
limit	[ˈlɪmət]	n. 限度；限制；范围
crude	[krud]	adj. 简陋的；天然的
cold	[koʊld]	adj. 冷的；冷淡的 n. 冷
frank	[fræŋk]	adj. 坦白的，直率的
forget	[fərˈgɛt]	v. 忘记，遗忘
bean	[bin]	n. 豆，蚕豆
appear	[əˈpɪr]	v. 似乎；出现；来到
price	[praɪs]	n. 价格，价钱；代价
emotion	[ˈiˌmoʊʃən]	n. 情感，感情；激动
worst	[wərst]	adj. 最坏的 adv. 最坏地
moan	[moʊn]	n. 呻吟声 v. 呻吟
terrible	[ˈtɛrəbəl]	adj. 可怕的；极度的
dollar	[ˈdɔlər]	n. 元〔美国、加拿大、澳大利亚等国的货币单位〕
answer	[ˈænsər]	v. 回答；响应
barn	[bɑrn]	n. 谷仓；牲口棚
conclusion	[kənˈkluʒən]	n. 结论，推论；结尾
demand	[dɪˈmænd]	v. 要求；询问；需要
learn	[lərn]	v. 学，学习
rival	[ˈraɪvəl]	n. 竞争者 adj. 竞争的
industry	[ˈɪndəstri]	n. 工业，产业；勤劳
concern	[kənˈsərn]	n. 关心，挂念；重要的事
friendly	[ˈfrɛndli]	adj. 友好的；友谊的
pale	[peɪl]	adj. 苍白的；浅的
dramatic	[drəˈmætɪk]	adj. 戏剧的；引人注目的
rhythm	[ˈrɪðəm]	n. 韵律，格律；节奏
local	[ˈloʊkəl]	adj. 地方的；局部的
nuclear	[ˈnukliər]	adj. 原子核的
gentleman	[ˈʤɛnəlmən]	n. 绅士；有教养的人
exactly	[ɪgˈzæktli]	adv. 确切地；恰恰正是
shield	[ʃild]	n. 盾；防护物 v. 保护
hawk	[hɔk]	n. 鹰，隼
network	[ˈnɛtˌwərk]	n. 网状物；网络
disease	[dɪˈziz]	n. 病，疾病；病害
French	[frɛnʧ]	adj. 法国的 n. 法国人
indicate	[ˈɪndəˌkeɪt]	v. 标示，表示；表明
aural	[ˈɔrəl]	adj. 耳的，听觉的
basket	[ˈbæskət]	n. 篮，篓，筐
interpreter	[ˌɪnˈtərprətər]	n. 译员，口译者
mountain	[ˈmaʊntən]	n. 山，山岳；山脉
obtain	[əbˈteɪn]	v. 获得，得到，买到
activity	[ækˈtɪvɪti]	n. 活动；活力；行动
lung	[ləŋ]	n. 肺脏，肺
throughout	[θruaʊt]	prep. 遍及 adv. 到处
measurable	[ˈmɛʒərəbəl]	adj. 可测量的
clasp	[klæsp]	n. 扣子，钩子；别针
unit	[ˈjunɪt]	n. 单位；单元；部件
spring	[spərɪŋ]	v. 跳，跃 n. 泉；跳跃
home	[hoʊm]	n. 家；家乡 adj. 家庭的
grammar	[ˈgræmər]	n. 语法；语法书
army	[ˈɑrmi]	n. 军队；陆军
clock	[klɑk]	n. 钟，仪表
domestic	[dəˈmɛstɪk]	adj. 本国的；家庭的
ladder	[ˈlædər]	n. 梯子，梯状物
doubt	[daʊt]	n. 怀疑；疑虑 v. 怀疑
fork	[fɔrk]	n. 餐叉；叉；分叉
course	[kɔrs]	n. 课程；过程；一道菜
intense	[ˌɪnˈtɛns]	adj. 强烈的；紧张的
advice	[ədˈvaɪs]	n. 劝告；忠告；意见
virtually	[ˈvərʧuəli]	adv. 实际上，事实上
envy	[ˈɛnvi]	v. 妒忌；羡慕 n. 妒忌；羡慕
duck	[dək]	n. 鸭；中文释义: 雌鸭；鸭肉
remark	[rɪˈmɑrk]	n. 评论，谈论 v. 评论，谈论
native	[ˈneɪtɪv]	adj. 本土的 n. 本地人
purchase	[ˈpərʧəs]	n. 买，购买 v. 买
explode	[ɪkˈsploʊd]	v. 使爆炸
tragedy	[ˈtræʤədi]	n. 惨事，惨案；悲剧
scissors	[ˈsɪzərz]	n. 剪刀，剪子
atom	[ˈætəm]	n. 原子；微粒；微量
suck	[sək]	v. 吸，吮，啜
flag	[flæg]	n. 旗，旗帜
person	[ˈpərsən]	n. 人；人身；本人
essay	[ˈɛˌseɪ]	n. 短文；散文，小品文
cliff	[klɪf]	n. 悬崖，峭壁
perspective	[pərˈspɛktɪv]	n. 透视；远景；观点
inquiry	[ˌɪnkˈwaɪˌri]	n. 询问，打听；调查
hair	[hɛr]	n. 头发；毛发；毛
clever	[ˈklɛvər]	adj. 聪明的；机敏的
scratch	[skræʧ]	v. 搔；抓 n. 搔；抓
insist	[ˌɪnˈsɪst]	v. 坚持；坚持要求
chimney	[ˈʧɪmni]	n. 烟囱，烟筒
orphan	[ˈɔrfən]	n. 孤儿
plane	[pleɪn]	n. 飞机；平面
accomplish	[əˈkɑmplɪʃ]	v. 达到（目的）；完成
queen	[kwin]	n. 女王；王后；王后
really	[ˈrɪli]	adv. 真正地；实在
hook	[hʊk]	n. 钩，挂钩 v. 钩住
recognition	[ˌrɛkɪgˈnɪʃən]	n. 承认；认出，识别
leaf	[lif]	n. 叶，叶子
preliminary	[prɪˈlɪməˌnɛri]	adj. 预备的，初步的
meeting	[ˈmitɪŋ]	n. 聚集，会合；会见
property	[ˈprɑpərti]	n. 财产，资产；性质
correct	[kərˈɛkt]	adj. 正确的 v. 纠正
month	[mənθ]	n. 月，月份
destination	[ˌdɛstɪˈneɪʃən]	n. 目的地，终点
purse	[pərs]	n. 钱包，小钱袋；手袋
feature	[ˈfiʧər]	n. 特征，特色；面貌
route	[rut]	n. 路，路线
error	[ˈɛrər]	n. 错误，谬误；差错
trust	[trəst]	n. 信任 v. 相信；委托
origin	[ˈɔrəʤən]	n. 起源，由来；出身
quick	[kwɪk]	adj. 快的；敏捷的
hunger	[ˈhəŋgər]	n. 饿，饥饿；渴望
fearful	[ˈfɪrfəl]	adj. 害怕的，可怕的
suspicion	[səˈspɪʃən]	n. 怀疑，疑心，猜疑
knowledge	[ˈnɑlɪʤ]	n. 知识，学识；知道
dish	[dɪʃ]	n. 碟，盘子；菜肴
amuse	[əmˈjuz]	v. 逗…乐；给…娱乐
cheque	[ʧɛk]	n. 支票
orchestra	[ˈɔrkəstrə]	n. 管弦乐队
favourite	[ˈfeɪvərɪt]	adj. 特别受喜爱的
centre	[ˈsɛntər]	n. 中心；中枢 v. 集中
come	[kəm]	v. 来，来到；出现
lion	[laɪən]	n. 狮子；勇猛的人
berry	[ˈbɛri]	n. 浆果（如草莓等）
edition	[ɪˈdɪʃən]	n. 版本；版；版次
hatred	[ˈheɪtrəd]	n. 憎恶，憎恨，仇恨
poverty	[ˈpɑvərti]	n. 贫穷，贫困
type	[taɪp]	n. 型，类型 v. 打字
process	[ˈprɔˌsɛs]	n. 过程；工序 v. 加工
pleasure	[ˈplɛʒər]	n. 愉快，快乐；乐事
banner	[ˈbænər]	n. 横幅；旗，旗帜
experiment	[ɪkˈspɛrəmənt]	n. 实验；试验
pear	[pɛr]	n. 梨子，梨树
Marxism	[ˈmɑrksɪzəm]	n. 马克思主义
drip	[drɪp]	v. 滴下；漏水 n. 水滴
dictation	[dɪkˈteɪʃən]	n. 口授笔录；听写
advisable	[ədˈvaɪzəbəl]	adj. 明智的；可取的
tide	[taɪd]	n. 潮，潮汐；潮流
mind	[maɪnd]	n. 头脑；理智；记忆
blow	[bloʊ]	v. 吹；吹动；吹响
model	[ˈmɑdəl]	n. 模型；模特儿
compass	[ˈkəmpəs]	n. 罗盘，指南针；圆规
germ	[ʤərm]	n. 微生物，细菌；幼芽
probably	[ˈprɑbəˌbli]	adv. 或许，大概
library	[ˈlaɪbrɛˌri]	n. 图书馆；藏书
advance	[ədˈvæns]	v. 前进；提高 n. 进展
my	[maɪ]	det. 我的
beloved	[bɪˈləvəd]	adj. 为…所爱的 n. 爱人
nephew	[ˈnɛfju]	n. 侄子，外甥
aluminium	[ˌæˈljumɪnəm]	n. 铝
rarely	[ˈrɛrli]	adv. 很少，难得
subsequent	[ˈsəbsəkwənt]	adj. 随后的，后来的
charity	[ˈʧɛrɪti]	n. 慈善事业；施舍
itself	[ˌɪtˈsɛlf]	pron. 它自己；自身
clue	[klu]	n. 线索，暗示，提示
jewish	[ʤuɪʃ]	adj. 犹太人的
current	[ˈkɑrənt]	adj. 当前的；通用的
journey	[ˈʤərni]	n. 旅行，旅程
sustain	[səˈsteɪn]	v. 支撑；忍受；供养
enormous	[ɪˈnɔrmɪs]	adj. 巨大的，庞大的
bite	[baɪt]	v. 咬；咬，叮，螫；剌穿
gift	[gɪft]	n. 礼物，赠品；天赋
bullet	[ˈbʊlət]	n. 枪弹，子弹，弹丸
history	[ˈhɪstəri]	n. 历史；个人经历
list	[lɪst]	n. 表，目录 v. 列举
behave	[bɪˈheɪv]	v. 表现，举止；
new	[nu]	adj. 新的；新近出现的
van	[væn]	n. 大篷车，运货车
amount	[əˈmaʊnt]	n. 总数；数量；和
calculate	[ˈkælkjəˌleɪt]	v. 计算；估计
generous	[ˈʤɛnərəs]	adj. 慷慨的；宽厚的
conventional	[kənˈvɛnʃənəl]	adj. 普通的；习惯的
early	[ˈərli]	adv. 早 adj. 早的，早期的
number	[ˈnəmbər]	n. 数，数字；号码
hint	[hɪnt]	n. 暗示，示意；建议
fashionable	[ˈfæʃənəbəl]	adj. 流行的，时髦的
tolerate	[ˈtɑlərˌeɪt]	v. 忍受，容忍，宽恕
condense	[kənˈdɛns]	v. 压缩，使缩短
technician	[tɛkˈnɪʃən]	n. 技术员，技师
flash	[flæʃ]	n. 闪光 v. 闪，闪烁
flour	[flaʊər]	n. 面粉，粉；粉状物质
catch	[kæʧ]	v. 捉住；赶上；领会
purple	[ˈpərpəl]	n. 紫色 adj. 紫的
feed	[fid]	v. 喂（养）；吃饲料
league	[lig]	n. 联合会；同盟，联盟
exert	[ɪgˈzərt]	v. 运用；尽（力）
finding	[ˈfaɪndɪŋ]	n. 发现；调查的结果
foreign	[ˈfɔrən]	adj. 外国的；外来的
shave	[ʃeɪv]	v. 剃，刮
assume	[əˈsum]	v. 假定；承担；呈现
response	[rɪˈspɑns]	n. 响应；作答，回答
refine	[rɪˈfaɪn]	v. 精炼，提纯
following	[ˈfɑloʊɪŋ]	adj. 接着的；下列的
play	[pleɪ]	v. 玩，游戏；演奏
steamer	[ˈstimər]	n. 轮船，汽船
lump	[ləmp]	n. 团，块；肿块
prince	[prɪns]	n. 王子；亲王
formation	[fɔrˈmeɪʃən]	n. 形成；构成；形成物
inward	[ˈɪnwərd]	adj. 内心的 adv. 向内
plentiful	[ˈplɛnɪfəl]	adj. 丰富的，富裕的
mutual	[mˈjuʧuəl]	adj. 相互的；共同的
insurance	[ˌɪnˈʃʊrəns]	n. 保险；保险费
humorous	[ˈhjumərəs]	adj. 富于幽默的，诙谐的
dissolve	[dɪˈzɑlv]	v. 使溶解；解散
prior	[praɪər]	adj. 在先的；优先的
farther	[ˈfɑrðər]	adv. 更远地 adj. 更远的
liner	[ˈlaɪnər]	n. 班船，班机
mist	[mɪst]	n. 薄雾
abuse	[əˈbjuz]	v. 滥用；虐待 n. 滥用
exceedingly	[ɪkˈsidɪŋli]	adv. 极端地，非常
coil	[kɔɪl]	n. （一）卷；线圈 v. 卷
foundation	[faʊnˈdeɪʃən]	n. 基础；地基；基金
wit	[wɪt]	n. 智力，才智，智能
spin	[spɪn]	v. 使旋转；纺 n. 旋转
noise	[nɔɪz]	n. 喧闹声；响声；噪声
anticipate	[ænˈtɪsəˌpeɪt]	v. 预料，预期；期望
masterpiece	[ˈmæstərˌpis]	n. 杰作，名著
illustration	[ˌɪləˈstreɪʃən]	n. 说明，图解；例证
recent	[ˈrisənt]	adj. 新近的，最近的
laundry	[ˈlɔndri]	n. 洗衣房，洗衣店
compute	[kəmˈpjut]	v. 计算，估计，估算
difficulty	[ˈdɪfɪˌkəlti]	adj. 困难；难事；困境
representative	[ˌrɛprɪˈzɛnətɪv]	adj. 代表性的 n. 代表
electricity	[ɪˌlɛkˈtrɪsəti]	n. 电，电学；电流
past	[pæst]	adj. 过去的 n. 过去
alloy	[ˈæˌlɔɪ]	n. 合金；（金属的）成色
temple	[ˈtɛmpəl]	n. 圣堂，神殿，庙宇
feast	[fist]	n. 盛宴；筵席；节日
invitation	[ˌɪnvɪˈteɪʃən]	n. 邀请，招待；请柬
group	[grup]	n. 小组，群 v. 聚集
visual	[ˈvɪʒəwəl]	adj. 视觉的，视力的
atmospheric	[ˌætməsˈfɛrɪk]	adj. 大气的；大气层的
annual	[ˈænjuəl]	adj. 每年的 n. 年报
stranger	[ˈstreɪnʤər]	n. 陌生人；新来者
present	[ˈprɛzənt]	adj. 现在的 n. 目前
frog	[frɑg]	n. 蛙
music	[mˈjuzɪk]	n. 音乐，乐曲；乐谱
simply	[ˈsɪmpli]	adv. 简单地；朴素地
heart	[hɑrt]	n. 心，内心；勇气
substitute	[ˈsəbstəˌtut]	n. 代替人 v. 用…代替
easily	[ˈizəli]	adv. 容易地
suspend	[səˈspɛnd]	v. 吊，悬；推迟
burn	[bərn]	v. 烧，燃烧 n. 烧伤
workman	[ˈwərkmən]	n. 工人，劳动者，工匠
leadership	[ˈlidərˌʃɪp]	n. 领导
jealous	[ˈʤɛləs]	adj. 妒忌的
can	[kən]	n. 罐头，听头；容器
cotton	[ˈkɔtən]	n. 棉；棉线；棉布
European	[ˌjʊrəˈpiən]	adj. 欧洲的 n. 欧洲人
explain	[ɪkˈspleɪn]	v. 解释；为…辩解
natural	[ˈnæʧərəl]	adj. 自然界的；天然的
clean	[klin]	adj. 清洁的；纯洁的
rebel	[ˈrɛbəl]	v. 造反 n. 造反者
enable	[ɪˈneɪbəl]	v. 使能够，使可能
evident	[ˈɛvədənt]	adj. 明显的，明白的
rain	[reɪn]	n. 雨，雨水 v. 下雨
management	[ˈmænɪʤmənt]	n. 管理；经营，处理
eighth	[eɪθ]	num. 第八 n. 八分之一
